"Publication";"Name of classification";"Criteria for class assignment";"Methodology";"Layer in RasterStack";"Background and specifications";"Number of classes (zonal/azonal)";"Cover deviation from overall mean area of all classifications [%]";"Original file format";"Source";"Access date"
"Allen et al., 2020";"Global vegetation patterns of the past 140,000 years";"Carbon mass, LAI, and plant functional types";"Modelling with the global dynamic vegetation Lund-Potsdam-Jena General Ecosystem Simulator";1;"Global biomes were simulated over the past 140,000 years. Input factors to the dynamic global vegetation model included reconstructed atmospheric CO2 concentrations, Earth's obliquity and paleo- as well as pre-industrial climate simulations by HadCM3. Biomes were assigned according to specified ranges of vegetation carbon mass and leaf area index (LAI) of functional plant types based on consistent rules.";"21 (21/0)";-1.3;"raster";"https://datadryad.org/stash/dataset/doi:10.5061/dryad.2fqz612mk";"13.03.2021"
"Buchhorn et al., 2019";"Dataset of the global component of the Copernicus Land Monitoring Service";"Multi-spectral Earth surface reflectance on top of canopies";"Supervised classification of satellite imagery data based on external reference data sets and expert opinion";2;"Copernicus Global Land Service (CGLS) provide an annual dynamic product on global land cover at 100 m spatial resolution derived from classification of daily-synthesis surface reflectance from the PROBA-V sensor.";"20 (18/2)";-4.65;"raster";"https://lcviewer.vito.be/download";"19.04.2021"
"Beck et al., 2018";"Present and future Köppen-Geiger climate classification maps at 1-km resolution";"Climate (temperature and precipitation)";"Application of a slightly adjusted Köppen-Geiger classification based on climatological thresholds following Peel et al. (2007)";3;"This present-day (1980–2016) Köppen-Geiger climate product at 1 km spatial resolution is based on ensemble data of multiple global climatic maps. The classification follows predefined temperature and precipitation thresholds as well as seasonality.";"30 (30/0)";5.13;"raster";"https://figshare.com/articles/Present_and_future_K_ppen-Geiger_climate_classification_maps_at_1-km_resolution/6396959/2";"16.04.2021"
"Hengl et al., 2018";"Global mapping of potential natural vegetation: an assessment of machine learning algorithms for estimating land potential";"Potential natural vegetation";"Modelling based on several machine learning techniques including neural networks, random forest, gradient boosting, K-nearest neighbour, and Cubist";4;"Biome mapping based on modern pollen reconstructions from the BIOME 6000 data set with 160 explanatory parameters including biophysical, atmospheric, climatic, topographic and lithologic geospatial characteristics.";"20 (20/0)";-13.57;"raster";"https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QQHCIK";"29.07.2019"
"Dinerstein et al., 2017";"An ecoregion-based approach to protecting half the terrestrial realm";"Biogeographic zonation and species distribution";"Revision of the terrestrial ecoregions of the world by Olson et al. (2001) based on technical advances and expert knowledge";5;"A total of 846 global ecoregions were nested in 14 terrestrial biomes.";"14 (14/0)";4.49;"vector";"http://ecoregions2017.appspot.com/";"19.02.2021"
"Zhang et al., 2017";"A global classification of vegetation based on NDVI, rainfall and temperature";"Climate (temperature and precipitation) and vegetation (NDVI)";"Non-hierarchical data clustering based on K-means distances in 14 classes, validation via Kappa statistics";6;"Reconstruction of global climatic vegetation types by K-means partitioning based on global monthly mean temperature and precipitation data interpolated from observation stations and monthly mean NDVI from the Global Inventory Modelling and Mapping Studies (GIMMS) data set based on satellite imagery from the Advanced Very-High-Resolution Radiometer (AVHRR) from 1982–2013. The number of classes was chosen to align with the 14 main global climate types.";"14 (14/0)";-6.91;"raster";"files were provided by the authors upon request";"01.08.2019"
"Netzel & Stepinski, 2016a";"On using a clustering approach for global climate classification";"Mean monthly climatic conditions including temperature, precipitation and temperature range";"Climate data clustering based on dynamic time warping as a measure for dissimilarity between climate types";7;"Out of a total of 32 different clustering-based classifications utilizing WorldClim data, two products were derived and compared to the rule-based Köppen-Geiger classification.";"13 (13/0)";-3.87;"raster";"files were provided by the authors upon request";"13.08.2019"
"Netzel & Stepinski, 2016b";"On uising a clustering approach for global climate classification";"Mean monthly climatic conditions including temperature, precipitation and temperature range";"Climate data clustering based on Euclidean distance as a measure for dissimilarity between climate types";8;"Out of a total of 32 different clustering-based classifications utilizing WorldClim data, two products were derived and compared to the rule-based Köppen-Geiger classification.";"13 (13/0)";-3.87;"raster";"files were provided by the authors upon request";"13.08.2019"
"Higgins et al., 2016";"Defining functional biomes and monitoring their change globally";"Vegetation parameters including a productivity index, timing of minimum vegetation activity, vegetation height; essential data for the definition of those factors are NDVI, soil moisture, solar radiation and temperature";"Classification of vegetation categories based on multiple predefined parameters of vegetation height, productivity and plant growth limitations";9;"The definition of global biomes is based on vegetation height, productivity and limitation factors (temperature and soil moisture) applied to bi-weekly NDVI data from 1981-2012 provided by the Advanced Very High- Resolution Radiometer (AVHRR) at 0.083° spatial resolution. Out of the 31-year time series, one biome classification of the dominant key vegetation types was created. This product was included in our catalogue. The spatial data is provided by Higgins et al. (2017).";"24 (24/0)";0.98;"raster";"https://datadryad.org/resource/doi:10.5061/dryad.3pm63";"16.04.2021"
"Pfadenhauer & Klötzli, 2014";"Earth´s vegetation";"Life form and distribution of potential natural dominant vegetation types as defined by local environmental habitat conditions (climate, soil, relief)";"Review and modification of global vegetation patterns by Schmithüsen (1976) informed by multiple regional sources";10;"This map of global vegetation patterns is an adaptation of the concept on global vegetation zonation presented in the “Atlas of biogeography” by Schmithüsen (1976). For exact sources of undertaken map modification of the original map (Schmithüsen, 1976) see Pfadenhauer & Klötzli (2014) page 73. “Earth´s Vegetation” is the translated title. The original title is “Vegetation der Erde” (German).";"34 (31/3)";4.87;"vector";"map digitization";"-"
"Zhang & Yan, 2014";"Spatiotemporal change in geographical distribution of global climate types in the context of climate warming";"Climate (temperature and precipitation)";"Non-hierarchical data clustering based on K-means distances in 14 classes, validation via Kappa statistics";11;"Reconstruction of 14 global climate types by K-means partitioning based on global monthly mean temperature and precipitation data interpolated from observation stations from 1982–2013. The number of classes was chosen to reflect the 14 main classes in the original Köppen-Geiger climate classification.";"14 (14/0)";4.56;"raster";"files were provided by the authors upon request";"01.08.2019"
"Metzger et al., 2013";"A high-resolution bioclimate map of the world: a unifying framework for global biodiversity research and monitoring";"42 climatic and physical environmental parameters including temperature, precipitation, evapotranspiration, aridity and humidity indices, solar irradiance, and elevation";"Compilation of multiple bioclimatic parameters, collinearity reduction among input parameters based on Pearson correlation, statistical grouping by principal components analysis of the covariance matrix, data clustering by iterative self-organizing data analysis for classification of principal components into homogeneous environmental strata, similarity-based aggregation of strata into global environmental zones based on Euclidean distance, comparison of final classification with multiple global and regional ecosystem concepts by Kappa statistics";12;"For the Global Environmental Stratification (GEnS), a global bioclimatic classification is derived from statistic partitioning of global geographic space according to local bioclimatic conditions. The source of the spatial data set is Metzger (2018).";"16 (16/0)";-3.62;"raster";"https://datashare.ed.ac.uk/handle/10283/3089";"31.07.2019"
"Food and Agriculture Organization of the United Nations, 2012";"Global ecological zones for FAO forest reporting: 2010 update";"Bioregionalization, biogeography, biodiversity, and macroecological patterns, vegetation";"Delineation of global ecological zones based on a compilation of global and regional ecological and vegetational source maps, revision according to remote sensing observational data and expert consultations for categorization of broad vegetation (forest) types";13;"Earlier product of the Global Ecological Zones (GEZ) classification (GEZ 2000) was updated by the Global Forest Resources Assessment (FRA) of the Food and Agriculture Organization of the United Nations (FAO) in 2011. The result is GEZ 2010 which accounts for more up to date Earth observation data (satellite imagery from 2008-2011) and improved spatial products on climate and land cover.";"21 (20/1)";5.1;"vector";"http://www.fao.org/geonetwork/srv/en/main.home";"26.02.2021"
"Tateishi et al., 2011; Tateishi et al., 2014; Kobayashi et al., 2017";"Global Land Cover by national mapping organizations";"Earth's spectral surface reflectance";"Supervised classification of satellite imagery by MODIS based on multiple remote sensing products for reference as well as specific regional maps and expert opinion, individual unsupervised classification for certain classes, validation with stratified random sampling";14;"Spectral surface reflectance data derived from sevens bands of MODIS Earth observation data from 2003/2008/2013 was classified by supervised (for 14 classes) and unsupervised approaches (for six classes). Training data originated from several remote sensors including Landsat, MODIS NDVI products, Google Earth and Virtual Earth. Satellite imagery is grouped according to the Land Cover Classification System (LCCS) by the Food and Agriculture Organization of the United Nations (FAO). Copyright information of the original data set: Global Land Cover by National Mapping Organizations: GLCNMO Version 1, Geospatial Information Authority of Japan, Chiba University and Collaborating Organizations.";"19 (18/1)";3.45;"raster";"https://globalmaps.github.io/glcnmo.html";"30.08.2019"
"Defries et al., 2010";"ISLSCP II University of Maryland global land cover classifications, 1992-1993";"NDVI, vegetation cover and canopy height";"Resampling of land cover and derived NDVI data from AVHRR with hierarchical classification";15;"The underlying procedure of classifying AVHRR data from 1992-1993 according to certain thresholds of vegetation cover and canopy height into distinct classes to generate this product is documented by Hansen et al. (2000).";"13 (12/1)";4.6;"raster";"https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=969";"30.07.2019"
"Ellis et al., 2010";"Anthropogenic transformation of the biomes, 1700 to 2000";"Human population density and land use";"Rule-based model classification according to standardized thresholds";16;"Anthromes were formed by rule-based classification of human population density and land use classes to allow comparison with potential natural vegetation (Ramankutty & Foley, 1999). Out of the defined anthropogenic biomes for the years 1700, 1800, 1900 and 2000, the latter was added to our catalogue as the most up to date representative.";"19 (18/1)";-4.79;"raster";"https://ecotope.org/anthromes/data/";"26.04.2021"
"European Space Agency, 2010";"GlobCover";"Earth surface reflectance of solar radiance in 15 spectral bands ranging from 412.5-900 nm in wavelength";"Regionally specified classification of high-resolution surface reflectance mosaics, validation informed by expert knowledge";17;"The global land cover map is based on automated and regionally specified classification of high resolution (300 m) surface reflectance mosaics. The input data is a time series of MERIS (Medium Resolution Imaging Spectrometer Instrument) observations from the full year 2009.";"21 (20/1)";-5.58;"raster";"http://due.esrin.esa.int/page_globcover.php";"30.07.2019"
"Friedl et al., 2010";"MODIS collection 5 global land cover: algorithm refinements and characterization of new datasets";"Earth surface reflectance data derived from time series of seven spectral bands provided by MODIS, EVI, remotely sensed land surface temperature, surface albedo";"Nested classification of Earth observation data based on ensemble decision trees, cross-validation analysis";18;"Several maps were generated from classifications of spectro-temporal data provided by the Collection 5 MODIS Global Land Cover Type product at 500 m spatial resolution (MCD12Q1). One of the applied legends comprises the classes by the International Geosphere-Biosphere Programme (IGBP) legend. This product was included into our catalogue.";"16 (15/1)";3.47;"raster";"https://earthexplorer.usgs.gov/";"27.11.2019"
